Year,Rank,Artist,Song,Song_genre,Genre,relevant_genres,primary_genre
2000,1,Faith Hill,Breathe,Breathe,"['country', 'female vocalists', 'pop', 'Love', 'Faith Hill']","['country', 'pop']",country
2000,2,Santana,Smooth,Smooth,"['rock', 'latin', 'Latin Rock', 'guitar', 'classic rock']","['rock', 'latin']",rock
2000,3,Santana,Maria Maria,Maria Maria,"['latin', 'rock', 'santana', 'guitar', 'Latin Rock']","['latin', 'rock']",latin
2000,4,Joe,I Wanna Know,I Wanna Know,"['rnb', 'joe', 'slow jams', 'soul', 'smooth']","['rnb', 'soul']",r&b
2000,5,Vertical Horizon,Everything You Want,Everything You Want,"['alternative rock', 'rock', '90s', 'alternative', 'pop']","['rock', 'pop']",rock
2000,6,Destiny’s Child,Say My Name,Say My Name,"['rnb', 'pop', 'destinys child', 'female vocalists', '90s']","['rnb', 'pop']",r&b
2000,7,Savage Garden,I Knew I Loved You,I Knew I Loved You,"['pop', '90s', 'savage garden', 'Love', 'love songs']",['pop'],pop
2000,8,Lonestar,Amazed,Amazed,"['country', 'lonestar', 'love songs', 'Amazed', 'Love']",['country'],country
2000,9,matchbox twenty,Bent,Bent,"['rock', 'alternative rock', 'alternative', '90s', 'pop']","['rock', 'pop']",rock
2000,10,Toni Braxton,He Wasn’t Man Enough,He Wasnt Man Enough,"['female', 'pop', 'dance', 'RB', 'rnb']","['pop', 'rnb']",pop
2000,11,Creed,Higher,Higher,"['rock', 'alternative rock', 'Creed', 'alternative', 'Grunge']",['rock'],rock
2000,12,Aaliyah,Try Again,Try Again,"['rnb', 'Aaliyah', 'female vocalists', 'Hip-Hop', 'dance']","['rnb', 'Hip-Hop']",r&b
2000,13,Destiny’s Child,Jumpin Jumpin’,Jumpin Jumpin,"['rnb', 'pop', 'dance', 'female vocalists', 'destinys child']","['rnb', 'pop']",r&b
2000,14,Sisqo,Thong Song,Thong Song,"['rnb', 'Sisqo', 'Hip-Hop', 'pop', 'r&b']","['rnb', 'Hip-Hop', 'pop', 'r&b']",r&b
