Year,Rank,Artist,Song
2014,1,Pharrell Williams,Happy
2014,2,Katy Perry feat. Juicy J,Dark Horse
2014,3,John Legend,All Of Me
2014,4,Iggy Azalea feat. Charli XCX,Fancy
2014,5,OneRepublic,Counting Stars
2014,6,Jason Derulo feat. 2 Chainz,Talk Dirty
2014,7,MAGIC!,Rude
2014,8,Meghan Trainor,All About That Bass
2014,9,Ariana Grande feat. Iggy Azalea,Problem
2014,10,Sam Smith,Stay With Me
2014,11,Pitbull feat. Ke$ha,Timber
2014,12,Bastille,Pompeii
2014,13,Taylor Swift,Shake It Off
2014,14,Nico and Vinz,Am I Wrong
2014,15,DJ Snake and Lil Jon,Turn Down For What
2014,16,Eminem feat. Rihanna,The Monster
2014,17,A Great Big World and Christina Aguilera,Say Something
2014,18,Lorde,Team
2014,19,Passenger,Let Her Go
2014,20,Lorde,Royals
2014,21,Idina Menzel,Let It Go
2014,22,Avicii,Wake Me Up!
2014,23,Imagine Dragons,Demons
2014,24,One Direction,Story Of My Life
2014,25,Sia,Chandelier
2014,26,Iggy Azalea feat. Rita Ora,Black Widow
2014,27,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang
2014,28,Disclosure feat. Sam Smith,Latch
2014,29,Maroon 5,Maps
2014,30,Chris Brown feat. Lil Wayne and French Montana or Too $hort or Tyga,Loyal
2014,31,American Authors,Best Day Of My Life
2014,32,Tove Lo,Habits (Stay High)
2014,33,Calvin Harris,Summer
2014,34,Charli XCX,Boom Clap
2014,35,Beyonce feat. Jay Z,Drunk In Love
2014,36,Nicki Minaj,Anaconda
2014,37,Ariana Grande feat. Zedd,Break Free
2014,38,Enrique Iglesias feat. Descemer Bueno and Gente De Zona,Bailando
2014,39,Ellie Goulding,Burn
2014,40,Jason Derulo feat. Snoop Dogg,Wiggle
2014,41,Clean Bandit feat. Jess Glynne,Rather Be
2014,42,Jeremih feat. Yg,Don’t Tell ‘Em
2014,43,Kid Ink feat. Chris Brown,Show Me
2014,44,Miley Cyrus,Wrecking Ball
2014,45,Justin Timberlake,Not A Bad Thing
2014,46,Katy Perry,Roar
2014,47,Paramore,Ain’t It Fun
2014,48,Aloe Blacc,The Man
2014,49,Florida Georgia Line feat. Luke Bryan,This Is How We Roll
2014,50,Mkto,Classic
2014,51,Coldplay,A Sky Full Of Stars
2014,52,Ed Sheeran,Don’t
2014,53,Trey Songz,Na Na
2014,54,Bobby Shmurda,Hot Boy
2014,55,Drake feat. Majid Jordan,"Hold On, We’re Going Home"
2014,56,Ed Sheeran,Sing
2014,57,Imagine Dragons,Radioactive
2014,58,Yg feat. Jeezy and Rich Homie Quan,My Hitta
2014,59,Echosmith,Cool Kids
2014,60,Avicii,Hey Brother
2014,61,Jason Derulo,Trumpets
2014,62,Maroon 5,Animals
2014,63,Jason Aldean,Burnin’ It Down
2014,64,Luke Bryan,Play It Again
2014,65,Tinashe feat. Schoolboy Q,2 On
2014,66,Florida Georgia Line,Dirt
2014,67,OneRepublic,Love Runs Out
2014,68,Brantley Gilbert,Bottoms Up
2014,69,Becky G,Shower
2014,70,Rixton,Me And My Broken Heart
2014,71,Martin Garrix,Animals
2014,72,Rich Gang feat. Young Thug and Rich Homie Quan,Lifestyle
2014,73,Kenny Chesney,American Kids
2014,74,Sara Bareilles,Brave
2014,75,The Neighbourhood,Sweater Weather
2014,76,Sam Hunt,Leave The Night On
2014,77,Chris Brown feat. Usher and Rick Ross,New Flame
2014,78,Michael Jackson and Justin Timberlake,Love Never Felt So Good
2014,79,Dierks Bentley,Drunk On A Plane
2014,80,Katy Perry,Birthday
2014,81,Lady Antebellum,Bartender
2014,82,Naughty Boy feat. Sam Smith,La La La
2014,83,Robin Thicke feat. T.I. and Pharrell,Blurred Lines
2014,84,Lady Gaga feat. R. Kelly,Do What U Want
2014,85,Shakira feat. Rihanna,Can’t Remember To Forget You
2014,86,5 Seconds Of Summer,Amnesia
2014,87,T.I. feat. Iggy Azalea,No Mediocre
2014,88,Kongos,Come With Me Now
2014,89,Lil Wayne feat. Drake,Believe Me
2014,90,"Mike Will Made-It feat. Miley Cyrus, Wiz Khalifa and Juicy J",23
2014,91,Jake Owen,Beachin’
2014,92,Macklemore & Ryan Lewis feat. Schoolboy Q and Hollis,White Walls
2014,93,5 Seconds Of Summer,She Looks So Perfect
2014,94,Zedd feat. Hayley Williams,Stay The Night
2014,95,Beyonce,Partition
2014,96,Schoolboy Q feat. BJ The Chicago Kid,Studio
2014,97,Drake,0 To 100 / The Catch Up
2014,98,Lee Brice,I Don’t Dance
2014,99,Miranda Lambert and Carrie Underwood,Somethin’ Bad
2014,100,Miley Cyrus,Adore You
2015,1,Mark Ronson feat. Bruno Mars,"Uptown Funk!
LYRICS"
2015,2,Ed Sheeran,"Thinking Out Loud
LYRICS"
2015,3,Wiz Khalifa feat. Charlie Puth,"See You Again
LYRICS"
2015,4,Fetty Wap,"Trap Queen
LYRICS"
2015,5,Maroon 5,"Sugar
LYRICS"
2015,6,Walk The Moon,"Shut Up and Dance
LYRICS"
2015,7,Taylor Swift,"Blank Space
LYRICS"
2015,8,Silento,"Watch Me
LYRICS"
2015,9,Weeknd,"Earned It (Fifty Shades Of Grey)
LYRICS"
2015,10,Weeknd,"The Hills
LYRICS"
2015,11,OMI,"Cheerleader (Felix Jaehn Remix)
LYRICS"
2015,12,Weeknd,"Can’t Feel My Face
LYRICS"
2015,13,Ellie Goulding,"Love Me Like You Do
LYRICS"
2015,14,Hozier,"Take Me To Church
LYRICS"
2015,15,Taylor Swift feat. Kendrick Lamar,"Bad Blood
LYRICS"
2015,16,Major Lazer and DJ Snake feat. M0,"Lean On
LYRICS"
2015,17,Jason Derulo,"Want To Want Me
LYRICS"
2015,18,Taylor Swift,"Shake It Off
LYRICS"
2015,19,Skrillex and Diplo With Justin Bieber,"Where Are U Now
LYRICS"
2015,20,Rachel Platten,"Fight Song
LYRICS"
2015,21,Fetty Wap feat. Remy Boyz,"679
LYRICS"
2015,22,Meghan Trainor,"Lips Are Movin
LYRICS"
2015,23,Fifth Harmony feat. Kid Ink,"Worth It
LYRICS"
2015,24,Omarion feat. Chris Brown and Jhene Aiko,"Post To Be
LYRICS"
2015,25,Andy Grammer,"Honey, I’m Good.
LYRICS"
2015,26,Sam Smith,"I’m Not The Only
One
LYRICS"
2015,27,Selena Gomez feat. A$AP Rocky,"Good For You
LYRICS"
2015,28,Meghan Trainor,"All About That Bass
LYRICS"
2015,29,Taylor Swift,"Style
LYRICS"
2015,30,Drake,"Hotline Bling
LYRICS"
2015,31,"David Guetta feat. Nicki Minaj, Bebe Rexha and Afrojack","Hey Mama
LYRICS"
2015,32,Flo Rida feat. Sage The Gemini and Lookas,"G.D.F.R.
LYRICS"
2015,33,Justin Bieber,"What Do You Mean?
LYRICS"
2015,34,Ed Sheeran,"Photograph
LYRICS"
2015,35,Adele,"Hello
LYRICS"
2015,36,Shawn Mendes,"Stitches
LYRICS"
2015,37,Tove Lo,"Talking Body
LYRICS"
2015,38,Nick Jonas,"Jealous
LYRICS"
2015,39,Pitbull and Ne-Yo,"Time Of Our Lives
LYRICS"
2015,40,R. City feat. Adam Levine,"Locked Away
LYRICS"
2015,41,Natalie La Rose feat. Jeremih,"Somebody
LYRICS"
2015,42,"Rihanna, Kanye West, and Paul McCartney","FourFiveSeconds
LYRICS"
2015,43,Fall Out Boy,"Centuries
LYRICS"
2015,44,Fetty Wap feat. Monty,"My Way
LYRICS"
2015,45,Sam Hunt,"Take Your Time
LYRICS"
2015,46,Maroon 5,"Animals
LYRICS"
2015,47,Big Sean feat. E-40,"I Don’t F**k With You
LYRICS"
2015,48,Rihanna,"B**** Better Have My Money
LYRICS"
2015,49,Rich Homie Quan,"Flex (Ooh Ooh Ooh)
LYRICS"
2015,50,T-Wayne,"Nasty Freestyle
LYRICS"
2015,51,"Nicki Minaj feat. Drake, Lil Wayne and Chris Brown","Only
LYRICS"
2015,52,Sia,"Elastic Heart
LYRICS"
2015,53,Demi Lovato,"Cool For The Summer
LYRICS"
2015,54,X Ambassadors,"Renegades
LYRICS"
2015,55,Usher feat. Juicy J,"I Don’t Mind
LYRICS"
2015,56,Ariana Grande and The Weeknd,"Love Me Harder
LYRICS"
2015,57,Taylor Swift,"Wildest Dreams
LYRICS"
2015,58,Sam Smith,"Stay With Me
LYRICS"
2015,59,DJ Snake and Alunageorge,"You Know You Like It
LYRICS"
2015,60,Fall Out Boy,"Uma Thurman
LYRICS"
2015,61,Beyonce,"7/11
LYRICS"
2015,62,Selena Gomez,"The Heart Wants What It Wants
LYRICS"
2015,63,Little Big Town,"Girl Crush
LYRICS"
2015,64,Trey Songz,"Slow Motion
LYRICS"
2015,65,One Direction,"Drag Me Down
LYRICS"
2015,66,Nicki Minaj feat. Drake and Lil Wayne,"Truffle Butter
LYRICS"
2015,67,Ariana Grande,"One Last Time
LYRICS"
2015,68,Nick Jonas,"Chains
LYRICS"
2015,69,Meek Mill feat. Chris Brown and Nicki Minaj,"All Eyes On You
LYRICS"
2015,70,Rae Sremmurd,"No Type
LYRICS"
2015,71,Vance Joy,"Riptide
LYRICS"
2015,72,Jidenna feat. Roman GianArthur,"Classic Man
LYRICS"
2015,73,Elle King,"Ex’s and Oh’s
LYRICS"
2015,74,Meghan Trainor,"Dear Future Husband
LYRICS"
2015,75,Charlie Puth feat. Meghan Trainor,"Marvin Gaye
LYRICS"
2015,76,Meghan Trainor feat. John Legend,"Like I’m Gonna Lose You
LYRICS"
2015,77,Tove Lo,"Habits (Stay High)
LYRICS"
2015,78,James Newton Howard feat. Jennifer Lawrence,"The Hanging Tree
LYRICS"
2015,79,O.T. Genasis,"Coco
LYRICS"
2015,80,"Jessie J, Ariana Grande and Nicki Minaj","Bang Bang
LYRICS"
2015,81,Sam Smith,"Lay Me Down
LYRICS"
2015,82,iLoveMakonnen feat. Drake,"Tuesday
LYRICS"
2015,83,iLoveMemphis,"Hit The Quan
LYRICS"
2015,84,"Macklemore and Ryan Lewis feat. Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz","Downtown
LYRICS"
2015,85,Sam Hunt,"House Party
LYRICS"
2015,86,Chris Brown and Tyga,"Ayo
LYRICS"
2015,87,Luke Bryan,"Kick The Dust Up
LYRICS"
2015,88,Big Sean feat. Drake,"Blessings
LYRICS"
2015,89,George Ezra,"Budapest
LYRICS"
2015,90,Sia,"Chandelier
LYRICS"
2015,91,Kelly Clarkson,"Heartbeat Song
LYRICS"
2015,92,Ed Sheeran,"Don’t
LYRICS"
2015,93,Ella Henderson,"Ghost
LYRICS"
2015,94,Alessia Cara,"Here
LYRICS"
2015,95,Mr. Probz,"Waves
LYRICS"
2015,96,Nicky Jam and Enrique Iglesias,"El Perdon (Forgiveness)
LYRICS"
2015,97,Ne-Yo feat. Juicy J,"She Knows
LYRICS"
2015,98,One Direction,"Night Changes
LYRICS"
2015,99,Drake,"Back To Back
LYRICS"
2015,100,Calvin Harris and Disciples,"How Deep Is Your Love
LYRICS"
2016,1,Justin Bieber,"Love Yourself
LYRICS"
2016,2,Justin Bieber,"Sorry
LYRICS"
2016,3,Drake feat. WizKid and Kyla,"One Dance
LYRICS"
2016,4,Rihanna feat. Drake,"Work
LYRICS"
2016,5,twenty one pilots,"Stressed Out
LYRICS"
2016,6,Desiigner,"Panda
LYRICS"
2016,7,Adele,"Hello
LYRICS"
2016,8,Chainsmokers feat. Daya,"Don’t Let Me Down
LYRICS"
2016,9,Justin Timberlake,"Can’t Stop The Feeling!
LYRICS"
2016,10,Chainsmokers feat. Halsey,"Closer
LYRICS"
2016,11,Sia feat. Sean Paul,"Cheap Thrills
LYRICS"
2016,12,Lukas Graham,"7 Years
LYRICS"
2016,13,Rihanna,"Needed Me
LYRICS"
2016,14,Flo Rida,"My House
LYRICS"
2016,15,Mike Posner,"I Took A Pill In Ibiza
LYRICS"
2016,16,Fifth Harmony feat. Ty Dolla $ign,"Work From Home
LYRICS"
2016,17,Calvin Harris feat. Rihanna,"This Is What You Came For
LYRICS"
2016,18,DNCE,"Cake By The Ocean
LYRICS"
